time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.615413681602629e-07,7.296319173390205e-07,10.005151181159354,0.0005304822479255122,0.0005484919837837055,0.0,-6.124336896197246e-05,5.888721822775158e-05,0.17169503523573285,0.022358626966810183,0.02301204656952353,0.0,458.3433899765528,460.1682235348433,458.0252298206418,459.79957184129756
0.12000000000000001,-2.040967649773252e-05,1.9303554673171957e-05,10.017208262335874,0.0016077915712395807,0.0022753846922984877,0.0,-0.0007445243869031176,0.0006780007385441128,0.23019690508694252,0.007245476769655014,0.03835672863869531,0.0,423.2463541764441,424.5649847722265,423.8817980247702,422.5812247000142
0.18,-0.00012282172726498061,9.611098585086493e-05,10.034464304500567,0.0024620535076982364,0.005141716478454406,0.0,-0.002943213157757367,0.0019522326620191191,0.3449751451441765,0.025457756710626608,0.061956749783655,0.0,440.74656318342005,442.6937471053766,440.8014676904076,442.30358248884625
0.23999999999999996,-0.000428465029275538,0.00027400024904988883,10.059656748036613,0.0036496810660535672,0.008630705807981087,0.0,-0.007640178300484054,0.004129564532242008,0.4947164873294905,0.0049684122087101336,0.04917895376109935,0.0,452.78102106020043,451.7542843771234,453.6765887943959,452.0286975535547
0.3,-0.001077427458028062,0.000600842187276454,10.09244972676809,0.0052495352873576095,0.011515357723786757,0.0,-0.014290748316472635,0.0068810100981264374,0.5983303278942508,0.05178672319772008,0.04577912884004281,0.0,438.8961068479877,438.6153288687063,435.95300079085104,439.84716325441343
0.36000000000000004,-0.0021762961637956965,0.0011306137504515294,10.130769883296331,0.008290807921059518,0.014240048812008688,0.0,-0.022608916371158035,0.011082625230044899,0.6789579300714269,0.048395146165794455,0.04466620864791047,0.0,431.4842319554308,431.3915486027319,430.93737288119394,430.6523525844015
0.4200000000000001,-0.0038496583586368825,0.0019854380588569405,10.175352581672007,0.011223399065765527,0.016737022457699702,0.0,-0.03344434418038734,0.017720562696402667,0.8070426253967123,0.04982197344233713,0.034688476156329175,0.0,446.09416126958075,445.27968944779656,446.7538034761083,446.8715733105545
0.48000000000000015,-0.006213089358675982,0.003293432590897856,10.226901509899886,0.014183501645898211,0.019439384855718167,0.0,-0.04558648152668767,0.02618353197993905,0.9111688710120411,0.048343305073700105,0.060278901263814896,0.0,437.0625778968976,439.19105942913626,439.80599816375775,439.6850712536536
0.5400000000000001,-0.009341334521752266,0.005152133910643136,10.283455156337885,0.017104211417049875,0.023001485721502846,0.0,-0.0590338352250619,0.036053105998417725,0.9738890857834587,0.04934036514810152,0.05748291431775816,0.0,425.7606098349024,425.5240026034648,425.9857225891556,426.0725361766685
0.6000000000000002,-0.013356256407611644,0.007668636136338096,10.344225872285502,0.020380134515649573,0.02608623148611855,0.0,-0.07512210013455034,0.04813833368299675,1.0517184490474305,0.0634522058487963,0.03510288559722138,0.0,432.08232942768564,430.1933728289394,430.026177692629,431.22182280541284
0.6600000000000003,-0.01844927051408094,0.011021943219882967,10.411727936890793,0.023971971692480665,0.029062012489230682,0.0,-0.09492864064303375,0.06403936741050181,1.1981903310801978,0.051500583976952084,0.06900059066640574,0.0,451.72368286478246,454.4499566077736,452.71459911554956,451.7544595345412
0.7200000000000003,-0.02494808711914203,0.015525214269861403,10.492864511570968,0.027422976295972568,0.032824336025679024,0.0,-0.12221903888193827,0.08649731803786107,1.5059793559462498,0.0674301594783637,0.045532269719122345,0.0,500.67484659379556,498.96693373818647,499.7960743735625,500.9574301782392
0.7800000000000004,-0.03288372895655019,0.02122470346133244,10.58361970797072,0.032262900507420866,0.03561946533783278,0.0,-0.1425487179317669,0.10388810883461641,1.5191541786509875,0.09888047347922163,0.048612203052582174,0.0,409.8468192879358,410.1219356602636,410.51938012054086,413.3058550065369
0.8400000000000004,-0.04211640622665625,0.028085137180227825,10.675881761439678,0.038874213605333274,0.03853124669670649,0.0,-0.1654761432230652,0.12537782990175225,1.5561645936434543,0.12645316823973793,0.04836420626194891,0.0,419.2981119276656,419.2781708148719,417.5990250897191,420.0081803910259
0.9000000000000005,-0.05274722141285143,0.03633090658072098,10.769534364595485,0.04673764198568353,0.04123429065626372,0.0,-0.18913388740439985,0.15016526120418972,1.5655338238476462,0.13895386716175656,0.03742968904306993,0.0,412.03849765971853,411.07209052317734,407.79282775995887,408.9251564133799
0.9600000000000005,-0.06493293036807563,0.04631031124110098,10.865866024607255,0.05557060367281874,0.043640529067987543,0.0,-0.21728363812537224,0.18332858966038512,1.6453519008831994,0.16002380853639694,0.04497657776709453,0.0,433.01931496916916,433.65452909118426,432.5135656395189,434.3048695739873
1.0200000000000005,-0.07885876181657969,0.05846158382849997,10.966995194452997,0.06498317419137223,0.04651018383116057,0.0,-0.2471832328175864,0.2226477058314842,1.7254271114013393,0.14970207813359063,0.05299235853960347,0.0,433.85143061085114,434.52531367017895,433.929562423744,433.08621447890727
1.0800000000000005,-0.09477660764679842,0.073353719755067,11.075844410919668,0.07366595865306369,0.04975755349554145,0.0,-0.2837647502674716,0.27473961799520685,1.9025043563494857,0.13219469072521836,0.05629217525048937,0.0,464.00480644029864,464.2655751026975,465.3753091572505,464.02140113134
1.1400000000000006,-0.11288247410808615,0.09144284470202457,11.193665537911784,0.08159089107435946,0.05283794358135374,0.0,-0.3200981572507053,0.32904592029029545,2.0245624409276077,0.13185653168957084,0.038926123552297236,0.0,449.84779650494164,448.44106004964164,447.60985967917316,447.5982417726639
